epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3043,1.01812,4.18678,1.47124,0.03431,0.33182,0.07602,0.0664,0.76204,3.26552,1.16966,7.03e-05,7.03e-05,7.03e-05
2,33.5092,0.88126,2.68866,1.29939,0.51445,0.52996,0.53569,0.46068,0.63192,3.65327,1.10632,0.000143892,0.000143892,0.000143892
3,50.7318,0.76084,2.06455,1.19416,0.56429,0.41502,0.40207,0.30972,0.90791,2.73303,1.36339,0.000217065,0.000217065,0.000217065
4,67.7162,0.80791,2.27029,1.25718,0.69247,0.5193,0.52537,0.4103,1.00434,3.31279,1.40443,0.00028982,0.00028982,0.00028982
5,84.7814,0.89405,2.14332,1.30484,0.69247,0.5193,0.52537,0.4103,1.00434,3.31279,1.40443,0.000362156,0.000362156,0.000362156
6,101.88,0.95252,2.38519,1.31267,0.32134,0.42174,0.36287,0.23736,1.32255,4.1084,1.70279,0.000364767,0.000364767,0.000364767
7,118.957,1.062,2.55002,1.33991,0.32134,0.42174,0.36287,0.23736,1.32255,4.1084,1.70279,0.000363721,0.000363721,0.000363721
8,136.212,1.1289,2.30594,1.42299,0.64515,0.52045,0.54144,0.39618,1.05227,3.20374,1.44503,0.000362674,0.000362674,0.000362674
9,153.297,1.10461,2.29161,1.42292,0.63424,0.53102,0.59914,0.45544,0.90322,2.19143,1.27374,0.000361627,0.000361627,0.000361627
10,170.676,1.03526,2.20475,1.36932,0.63424,0.53102,0.59914,0.45544,0.90322,2.19143,1.27374,0.000360581,0.000360581,0.000360581
11,188.41,0.9523,1.89621,1.31649,0.74277,0.68139,0.79616,0.65286,0.73961,1.47408,1.15592,0.000359534,0.000359534,0.000359534
12,205.569,0.84218,1.64667,1.25517,0.67823,0.72095,0.77824,0.58703,0.89293,1.4968,1.28661,0.000358488,0.000358488,0.000358488
13,222.141,0.91047,1.58727,1.28801,0.67823,0.72095,0.77824,0.58703,0.89293,1.4968,1.28661,0.000357441,0.000357441,0.000357441
14,238.792,0.89098,1.57444,1.28855,0.63832,0.72705,0.78794,0.66736,0.69871,1.25121,1.09306,0.000356395,0.000356395,0.000356395
15,255.678,0.80763,1.49113,1.24658,0.63832,0.72705,0.78794,0.66736,0.69871,1.25121,1.09306,0.000355348,0.000355348,0.000355348
16,273.516,0.81284,1.25681,1.23272,0.80891,0.80816,0.88929,0.76466,0.63832,1.00956,1.06103,0.000354301,0.000354301,0.000354301
17,290.403,0.76652,1.16366,1.1635,0.91052,0.84709,0.9089,0.77304,0.68033,0.91104,1.05094,0.000353255,0.000353255,0.000353255
18,307.123,0.80231,1.097,1.18242,0.91052,0.84709,0.9089,0.77304,0.68033,0.91104,1.05094,0.000352208,0.000352208,0.000352208
19,324.055,0.7551,1.06605,1.163,0.81451,0.89271,0.91571,0.81388,0.54548,0.73138,0.99775,0.000351162,0.000351162,0.000351162
20,341.03,0.71959,1.01649,1.15534,0.95469,0.8738,0.92881,0.83062,0.52613,0.60199,0.9899,0.000350115,0.000350115,0.000350115
21,358.451,0.65881,0.89958,1.13049,0.95469,0.8738,0.92881,0.83062,0.52613,0.60199,0.9899,0.000349069,0.000349069,0.000349069
22,375.32,0.65321,0.90407,1.12179,0.91855,0.8913,0.93023,0.82772,0.52771,0.60215,0.97295,0.000348022,0.000348022,0.000348022
23,392.061,0.67084,0.92158,1.11356,0.91855,0.8913,0.93023,0.82772,0.52771,0.60215,0.97295,0.000346975,0.000346975,0.000346975
24,408.508,0.65321,0.82329,1.11457,0.92682,0.90032,0.93853,0.84679,0.5015,0.53299,0.95778,0.000345929,0.000345929,0.000345929
25,425.247,0.62243,0.78167,1.09742,0.92573,0.91721,0.93985,0.83804,0.52605,0.51676,0.97493,0.000344882,0.000344882,0.000344882
26,441.594,0.65678,0.80036,1.11798,0.92573,0.91721,0.93985,0.83804,0.52605,0.51676,0.97493,0.000343836,0.000343836,0.000343836
27,458.054,0.64731,0.81638,1.10581,0.92434,0.91985,0.94135,0.83774,0.51197,0.54178,0.96068,0.000342789,0.000342789,0.000342789
28,474.52,0.6345,0.80032,1.11259,0.91262,0.9327,0.94249,0.84845,0.50192,0.54159,0.93789,0.000341743,0.000341743,0.000341743
29,491.254,0.60272,0.71452,1.07185,0.91262,0.9327,0.94249,0.84845,0.50192,0.54159,0.93789,0.000340696,0.000340696,0.000340696
30,508.095,0.61119,0.72055,1.08547,0.93125,0.93849,0.94572,0.85986,0.46572,0.4506,0.92438,0.000339649,0.000339649,0.000339649
31,524.788,0.56274,0.63224,1.044,0.93125,0.93849,0.94572,0.85986,0.46572,0.4506,0.92438,0.000338603,0.000338603,0.000338603
32,541.584,0.58911,0.68033,1.07586,0.94146,0.92923,0.9486,0.86527,0.4797,0.42429,0.93594,0.000337556,0.000337556,0.000337556
33,558.404,0.56812,0.66646,1.05688,0.94284,0.9341,0.94876,0.87632,0.45116,0.41116,0.91728,0.00033651,0.00033651,0.00033651
34,575.117,0.57478,0.63391,1.04919,0.94284,0.9341,0.94876,0.87632,0.45116,0.41116,0.91728,0.000335463,0.000335463,0.000335463
